"domain_uuid","domain_name","extension","number_alias","answered","missed","voicemail","no_answer","busy","aloc","inbound_calls","inbound_duration","outbound_calls","outbound_duration","description"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","100","","1","0","0","0","7","0.93837535014005602241","1","335","0","","100 - Ian"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","101","","0","0","0","0","0","","0","","0","","101 - Jamie"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","102","","0","0","0","0","6","0.00000000000000000000","0","0","0","","102 - Natalie"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","103","","2","0","0","0","0","170.5000000000000000","0","","2","341","103 - Chris"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","104","","0","0","0","0","0","","0","","0","","104 - Amanda"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","105","","0","0","0","0","0","","0","","0","","105 - Boardroom"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","106","","156","0","0","0","49","79.0673316708229426","107","26659","53","5047","106 - Retail 1"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","107","","117","0","0","0","33","42.4248021108179420","92","13785","29","2294","107 - Retail 2"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","108","","0","0","0","0","0","0.00000000000000000000","0","0","0","","108 - Retail 3"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","109","","0","0","0","0","0","","0","","0","","109 - Workshop 1"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","110","","0","0","0","0","0","","0","","0","","110 - Workshop 2"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","111","","0","0","0","0","0","","0","","0","","111 - Warehouse"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","112","","0","0","0","0","0","","0","","0","","112 - Trevor"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","200","","139","0","0","0","22","54.0522193211488251","90","16749","53","3953","200 - Burleigh Retail 1"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","201","","27","0","0","0","0","25.5714285714285714","4","1387","23","2730","201 - Burleigh Workshop"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","203","","171","0","0","0","2","83.0775401069518717","131","27398","44","3673","203 - Burleigh Retail 2"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","204","","0","0","0","0","0","","0","","0","","204 Burleigh Front Desk 3"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","300","","117","0","0","0","0","98.7120000000000000","9","2152","116","10187","300 - Newstead Front Desk"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","301","","0","0","0","0","0","","0","","0","","301 - Newstead Office"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","302","","8","0","0","0","0","54.8888888888888889","0","","9","494","302 - Newstead Workshop"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","920","","279","5","0","0","0","68.7315436241610738","2","0","296","20482","AI -agent diversion number"
