"domain_uuid","domain_name","extension","number_alias","answered","missed","voicemail","no_answer","busy","aloc","inbound_calls","inbound_duration","outbound_calls","outbound_duration","description"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","100","","1","0","0","0","49","0.21612903225806451613","1","335","0","","100 - Ian"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","101","","0","0","0","0","0","","0","","0","","101 - Jamie"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","102","","19","0","0","0","58","2.2986598596043395","3","1094","17","2508","102 - Natalie"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","103","","2","0","0","0","0","170.5000000000000000","0","","2","341","103 - Chris"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","104","","0","0","0","0","0","","0","","0","","104 - Amanda"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","105","","0","0","0","0","0","","0","","0","","105 - Boardroom"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","106","","588","0","0","0","262","61.4513928368391131","376","87419","237","20674","106 - Retail 1"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","107","","452","0","0","0","183","45.5159509202453988","366","65751","99","8440","107 - Retail 2"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","108","","62","0","0","0","0","10.3014311270125224","49","9190","13","2327","108 - Retail 3"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","109","","0","0","0","0","0","","0","","0","","109 - Workshop 1"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","110","","0","0","0","0","0","","0","","0","","110 - Workshop 2"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","111","","0","0","0","0","0","","0","","0","","111 - Warehouse"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","112","","0","0","0","0","0","","0","","0","","112 - Trevor"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","200","","509","5","0","0","136","46.9212239583333333","295","56241","235","15830","200 - Burleigh Retail 1"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","201","","65","0","0","0","0","46.4328358208955224","5","1409","62","7924","201 - Burleigh Workshop"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","203","","763","11","0","0","12","89.8269851517107811","549","119977","237","19165","203 - Burleigh Retail 2"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","204","","0","0","0","0","0","","0","","0","","204 Burleigh Front Desk 3"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","300","","551","352","0","0","0","88.5059588299024919","661","60030","262","21661","300 - Newstead Front Desk"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","301","","0","0","0","0","0","","0","","0","","301 - Newstead Office"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","302","","27","0","0","0","0","81.8000000000000000","1","279","29","2175","302 - Newstead Workshop"
"dd33e40e-8580-445a-9a15-cc2e95ab32fd","rideelectricretailptyltd.pbx.localcom.com.au","920","","460","5","0","0","0","58.3083164300202840","2","0","491","28746","AI -agent diversion number"
